country_txt,provstate,city,success,nkill,nkillter,nwound,nperpcap,nhostkid,date,weekday,ChefedeGovernoMilitar,eleicaonacionaldireta,CidadeOuCapital,TimeDifference_city_event,TimeDifference_country_event,TimeDifference_province_event,feriado_oucomemo,SP.POP.GROW,popgrow_higher_than_latam,country_population,tamanho_pais,tempo_rel_ultimo_atk_city_ano,ataque_ult_ano_provincia,ataque_ult_ano_pais
Brazil,acre,rio branco,0,0,,0,,,1986-10-13 00:00:00,Monday,0,0,0,6129,901,6129,0,2.06946636025339,1,139643355,mais de 30mi,10 anos ou mais,0,0
Brazil,acre,rio branco,0,1,,0,,,1991-09-17 00:00:00,Tuesday,0,0,0,1800,4,1800,0,1.7300615647074,0,153336445,mais de 30mi,2 a 9 anos,0,0
El Salvador,ahuachapan,ahuachapan,0,1,,0,,,1980-05-05 00:00:00,Monday,1,0,0,3777,5,3777,0,1.69878206722071,0,4508992,menor ou igual a 8mi,10 anos ou mais,0,0
El Salvador,ahuachapan,ahuachapan,0,0,,0,,,1987-04-10 00:00:00,Friday,0,0,0,2531,1,2531,0,1.92100179537841,0,5067200,menor ou igual a 8mi,2 a 9 anos,0,1
El Salvador,ahuachapan,ahuachapan,0,0,,0,,,1988-05-04 00:00:00,Wednesday,0,0,0,390,1,390,0,2.01693944797354,1,5170440,menor ou igual a 8mi,2 a 9 anos,0,1
El Salvador,ahuachapan,atiquizaya,0,0,,0,,,1988-10-03 00:00:00,Monday,0,0,0,6850,14,152,0,2.01693944797354,1,5170440,menor ou igual a 8mi,10 anos ou mais,0,0
El Salvador,ahuachapan,ahuachapan,0,0,,0,,,1988-12-04 00:00:00,Sunday,0,0,0,214,4,62,0,2.01693944797354,1,5170440,menor ou igual a 8mi,1 ano ou menos,0,0
El Salvador,ahuachapan,el refugio,0,0,,0,,,1991-09-03 00:00:00,Tuesday,0,0,0,7915,8,1003,0,1.73422966487922,0,5461070,menor ou igual a 8mi,10 anos ou mais,0,0
Brazil,alagoas,maceio,0,2,,0,,,1991-10-09 00:00:00,Wednesday,0,0,1,7951,2,7951,0,1.7300615647074,0,153336445,mais de 30mi,10 anos ou mais,0,0
Costa Rica,alajuela,alajuela,0,0,,0,,,1977-04-11 00:00:00,Monday,0,0,0,2657,154,2657,1,2.6445292256157,1,2225630,menor ou igual a 8mi,2 a 9 anos,0,0
Costa Rica,alajuela,los chiles,0,0,,0,,,1978-11-09 00:00:00,Thursday,0,1,0,3234,499,577,0,2.68554030631481,1,2286210,menor ou igual a 8mi,2 a 9 anos,0,0
Costa Rica,alajuela,quesada,1,0,,0,,,1985-01-11 00:00:00,Friday,0,0,0,5489,169,2255,0,2.75319653423939,1,2771463,menor ou igual a 8mi,10 anos ou mais,0,0
Guatemala,alta verapaz,candelaria,0,1,,0,,,1979-01-26 00:00:00,Friday,1,0,0,3312,1,3312,0,2.38916672626313,1,6720582,menor ou igual a 8mi,10 anos ou mais,0,1
Guatemala,alta verapaz,rubelsanto,0,4,,2,,,1980-04-23 00:00:00,Wednesday,1,0,0,3765,0,453,0,2.49465435437886,1,6890346,menor ou igual a 8mi,10 anos ou mais,0,1
